Flaschen ID,y_hat
368,920.2930723907386
369,916.2113612285395
370,911.9634066875328
371,906.3758965588307
372,906.3758965588307
373,906.3758965588307
374,906.3758965588307
375,906.3758965588307
376,906.3758965588307
377,906.3758965588307
378,906.3758965588307
379,906.3758965588307
380,906.3758965588307
381,906.3758965588307
382,906.3758965588307
383,906.3758965588307
384,906.3758965588307
385,906.3758965588307
386,906.3758965588307
387,906.3758965588307
388,906.3758965588307
389,906.3758965588307
390,906.3758965588307
391,906.3758965588307
392,906.3758965588307
393,906.3758965588307
394,906.3758965588307
395,906.3758965588307
396,1108.0411445699408
397,1103.7123383186624
398,1099.1595755222966
399,1095.0587227406238
400,1090.859819397464
401,1086.8200959889423
402,1082.5292221040536
403,1078.3513883386083
404,1074.1526114008834
405,1069.8157653818423
406,1065.6632407218585
407,1061.333183551398
408,1057.0997407680811
409,1052.9813061607397
410,1048.81105309183
411,1044.3036973562512
412,1040.093210512414
413,1035.7860018417168
414,1031.6046280057492
415,1027.2597294343982
416,1023.1836835425489
417,1019.2568292380674
418,1014.9123103371669
419,1010.7378362739564
420,1006.5139442861565
421,1002.3716131742882
422,998.3598789655779
423,993.9659333831663
424,989.8110217725165
425,985.5785451888914
426,981.4820056591022
427,977.3843841462215
428,973.0196426713508
429,968.9967291800522
430,964.6583104550907
431,960.509136095978
432,956.4593217504948
433,952.3130897331116
434,948.2938149596965
435,943.8158790553948
436,939.4300477667251
437,935.248008110518
438,931.0871698607361
439,926.8870666356177
440,922.7543782300744
441,918.610715187188
469,1108.3655841041514
470,1104.074684316008
471,1099.9045404643339
472,1095.5070381279477
473,1091.1812226885368
474,1086.9194147207984
475,1082.5261976763686
476,1078.3347184096076
477,1074.1412171079164
478,1069.753155521102
479,1065.582751807724
480,1061.2709210060927
481,1057.0405152272544
482,1052.9505683247269
483,1048.8695490245327
484,1044.929238814517
485,1040.7472366297347
486,1036.4652676781704
487,1032.0556779366962
488,1027.9359041702246
489,1023.8580295197859
490,1019.494851465651
491,1015.3091575317472
492,1011.0411537731278
493,1006.6468074212521
494,1002.1965356745053
495,998.081695087743
496,993.7282168131039
497,989.3019864642349
498,985.0140308095315
499,980.8607508660527
500,976.7150607909379
501,972.7114111937815
502,968.5522750810242
503,964.5812690221769
504,960.5561002330422
505,956.4661547483354
506,952.2524876263377
507,948.0663148774665
508,943.9635059287184
509,939.6653738465071
510,935.3569691453291
511,930.99254134082
512,926.6665687416012
513,922.5057173374009
514,918.1387461518107
515,913.8796475966328
516,909.7141765949846
517,906.3758965588307
518,906.3758965588307
519,906.3758965588307
520,906.3758965588307
521,906.3758965588307
522,906.3758965588307
523,906.3758965588307
524,906.3758965588307
525,906.3758965588307
526,906.3758965588307
527,906.3758965588307
528,906.3758965588307
529,906.3758965588307
530,906.3758965588307
531,906.3758965588307
532,906.3758965588307
533,906.3758965588307
534,906.3758965588307
535,906.3758965588307
536,906.3758965588307
537,906.3758965588307
538,906.3758965588307
539,906.3758965588307
540,906.3758965588307
541,906.3758965588307
542,906.3758965588307
543,906.3758965588307
544,906.3758965588307
545,906.3758965588307
546,906.3758965588307
547,906.3758965588307
548,906.3758965588307
549,906.3758965588307
550,906.3758965588307
551,1108.2866061591412
552,1103.9249040424825
553,1099.6740995676087
554,1095.4244078279226
555,1091.3042102476554
556,1087.1103328623733
557,1082.8286444556934
558,1078.5219210546377
559,1074.5058150595694
560,1070.020966129856
561,1065.8502378378
562,1061.51660045777
563,1057.1733840137945
564,1053.0152509615707
565,1048.7203735369976
566,1044.7225628675794
567,1040.6517763021961
568,1036.4626810629252
569,1032.2613185046428
570,1028.2230122736546
571,1023.9033514062087
572,1019.8867904640238
573,1015.5447088768706
574,1011.1463376371037
575,1006.8406109401702
576,1002.5789029038406
577,998.2549723532952
578,993.843949202881
579,989.5693936733724
580,985.3334815083576
581,981.0210775786669
582,976.9799712934779
583,972.624219046471
584,968.4594385596602
585,964.1809987966027
586,959.8362087818325
587,955.4664144044291
588,951.1195375878617
589,946.8893173778118
590,942.7561793486173
591,938.7268605372242
592,934.6916923362919
593,930.4636311240623
594,926.4399830513927
595,922.1956158542719
596,918.0384259670647
597,914.2516508492527
598,909.9172468116302
599,906.3758965588307
600,906.3758965588307
601,906.3758965588307
602,906.3758965588307
603,906.3758965588307
604,906.3758965588307
605,906.3758965588307
606,906.3758965588307
607,906.3758965588307
608,906.3758965588307
609,906.3758965588307
610,906.3758965588307
611,906.3758965588307
612,906.3758965588307
613,906.3758965588307
614,906.3758965588307
615,906.3758965588307
616,906.3758965588307
617,906.3758965588307
618,906.3758965588307
619,906.3758965588307
620,906.3758965588307
621,906.3758965588307
622,906.3758965588307
623,1112.442990651983
624,1108.424251494539
625,1103.8816853319202
626,1099.5017517207748
627,1095.2331372059953
628,1090.991093762696
629,1086.6955447742469
630,1082.5311127608375
631,1078.412298373562
632,1074.2517907464442
633,1069.988184120674
634,1065.9267722871741
635,1061.8017492804283
636,1057.734258850753
637,1053.6523182650117
638,1049.5898354955093
639,1045.3089676462857
640,1041.1442963154352
641,1037.0817918980288
